CRITICAL - 2023-10-02 20:31:59 - 85521 - Server up  - __main__ - 11
INFO - 2023-10-02 20:31:59 - 85521 - Start server initialization  - __main__ - 13
INFO - 2023-10-02 20:31:59 - 85521 - Configuring environment  - __main__ - 17
INFO - 2023-10-02 20:31:59 - 85521 - Environment configured successfully  - __main__ - 19
INFO - 2023-10-02 20:31:59 - 85521 - Bot starts to listen  - __main__ - 20
INFO - 2023-10-02 20:32:15 - 85521 - connected to db  - core.DataBase.DataBase - 12
INFO - 2023-10-02 20:32:15 - 85521 - new user added to db  - core.DataBase.DataBase - 38
INFO - 2023-10-02 20:32:15 - 85521 - connected to db  - core.DataBase.DataBase - 12
INFO - 2023-10-02 20:32:15 - 85521 - checked for updates for user 183249817 from db  - core.DataBase.DataBase - 132
INFO - 2023-10-02 20:32:18 - 85521 - connected to db  - core.DataBase.DataBase - 12
INFO - 2023-10-02 20:32:18 - 85521 - new user added to db  - core.DataBase.DataBase - 38
INFO - 2023-10-02 20:32:18 - 85521 - connected to db  - core.DataBase.DataBase - 12
INFO - 2023-10-02 20:32:18 - 85521 - checked for updates for user 183249817 from db  - core.DataBase.DataBase - 132
INFO - 2023-10-02 20:32:18 - 85521 - connected to db  - core.DataBase.DataBase - 12
INFO - 2023-10-02 20:32:18 - 85521 - get all topics from db  - core.DataBase.DataBase - 26
INFO - 2023-10-02 20:32:20 - 85521 - connected to db  - core.DataBase.DataBase - 12
INFO - 2023-10-02 20:32:20 - 85521 - new user added to db  - core.DataBase.DataBase - 38
INFO - 2023-10-02 20:32:20 - 85521 - connected to db  - core.DataBase.DataBase - 12
INFO - 2023-10-02 20:32:20 - 85521 - checked for updates for user 183249817 from db  - core.DataBase.DataBase - 132
INFO - 2023-10-02 20:32:20 - 85521 - connected to db  - core.DataBase.DataBase - 12
INFO - 2023-10-02 20:32:20 - 85521 - get all topics from db  - core.DataBase.DataBase - 26
INFO - 2023-10-02 20:32:20 - 85521 - connected to db  - core.DataBase.DataBase - 12
INFO - 2023-10-02 20:32:20 - 85521 - get unanswered question with id 2 from db for user 183249817  - core.DataBase.DataBase - 65
INFO - 2023-10-02 20:32:27 - 85521 - connected to db  - core.DataBase.DataBase - 12
INFO - 2023-10-02 20:32:27 - 85521 - new user added to db  - core.DataBase.DataBase - 38
INFO - 2023-10-02 20:32:27 - 85521 - connected to db  - core.DataBase.DataBase - 12
INFO - 2023-10-02 20:32:27 - 85521 - checked for updates for user 183249817 from db  - core.DataBase.DataBase - 132
INFO - 2023-10-02 20:32:27 - 85521 - connected to db  - core.DataBase.DataBase - 12
INFO - 2023-10-02 20:32:27 - 85521 - get all topics from db  - core.DataBase.DataBase - 26
INFO - 2023-10-02 20:32:27 - 85521 - connected to db  - core.DataBase.DataBase - 12
INFO - 2023-10-02 20:32:27 - 85521 - get all topics from db  - core.DataBase.DataBase - 26
INFO - 2023-10-02 20:32:28 - 85521 - connected to db  - core.DataBase.DataBase - 12
INFO - 2023-10-02 20:32:28 - 85521 - added correct for question with 2 for user 183249817 from db  - core.DataBase.DataBase - 81
INFO - 2023-10-02 20:32:30 - 85521 - connected to db  - core.DataBase.DataBase - 12
INFO - 2023-10-02 20:32:30 - 85521 - new user added to db  - core.DataBase.DataBase - 38
INFO - 2023-10-02 20:32:30 - 85521 - connected to db  - core.DataBase.DataBase - 12
INFO - 2023-10-02 20:32:30 - 85521 - checked for updates for user 183249817 from db  - core.DataBase.DataBase - 132
INFO - 2023-10-02 20:32:30 - 85521 - connected to db  - core.DataBase.DataBase - 12
INFO - 2023-10-02 20:32:30 - 85521 - get all topics from db  - core.DataBase.DataBase - 26
INFO - 2023-10-02 20:32:30 - 85521 - connected to db  - core.DataBase.DataBase - 12
INFO - 2023-10-02 20:32:30 - 85521 - get unanswered question with id 5 from db for user 183249817  - core.DataBase.DataBase - 65
INFO - 2023-10-02 20:32:35 - 85521 - connected to db  - core.DataBase.DataBase - 12
INFO - 2023-10-02 20:32:35 - 85521 - new user added to db  - core.DataBase.DataBase - 38
INFO - 2023-10-02 20:32:35 - 85521 - connected to db  - core.DataBase.DataBase - 12
INFO - 2023-10-02 20:32:35 - 85521 - checked for updates for user 183249817 from db  - core.DataBase.DataBase - 132
INFO - 2023-10-02 20:32:35 - 85521 - connected to db  - core.DataBase.DataBase - 12
INFO - 2023-10-02 20:32:35 - 85521 - get all topics from db  - core.DataBase.DataBase - 26
INFO - 2023-10-02 20:32:35 - 85521 - connected to db  - core.DataBase.DataBase - 12
INFO - 2023-10-02 20:32:35 - 85521 - get all topics from db  - core.DataBase.DataBase - 26
INFO - 2023-10-02 20:32:35 - 85521 - connected to db  - core.DataBase.DataBase - 12
INFO - 2023-10-02 20:32:35 - 85521 - added correct for question with 5 for user 183249817 from db  - core.DataBase.DataBase - 81
INFO - 2023-10-02 20:32:37 - 85521 - connected to db  - core.DataBase.DataBase - 12
INFO - 2023-10-02 20:32:37 - 85521 - new user added to db  - core.DataBase.DataBase - 38
INFO - 2023-10-02 20:32:37 - 85521 - connected to db  - core.DataBase.DataBase - 12
INFO - 2023-10-02 20:32:37 - 85521 - checked for updates for user 183249817 from db  - core.DataBase.DataBase - 132
INFO - 2023-10-02 20:32:37 - 85521 - connected to db  - core.DataBase.DataBase - 12
INFO - 2023-10-02 20:32:37 - 85521 - get all topics from db  - core.DataBase.DataBase - 26
INFO - 2023-10-02 20:32:37 - 85521 - connected to db  - core.DataBase.DataBase - 12
INFO - 2023-10-02 20:32:37 - 85521 - get unanswered question with id 8 from db for user 183249817  - core.DataBase.DataBase - 65
INFO - 2023-10-02 20:32:40 - 85521 - connected to db  - core.DataBase.DataBase - 12
INFO - 2023-10-02 20:32:40 - 85521 - new user added to db  - core.DataBase.DataBase - 38
INFO - 2023-10-02 20:32:40 - 85521 - connected to db  - core.DataBase.DataBase - 12
INFO - 2023-10-02 20:32:40 - 85521 - checked for updates for user 183249817 from db  - core.DataBase.DataBase - 132
INFO - 2023-10-02 20:32:40 - 85521 - connected to db  - core.DataBase.DataBase - 12
INFO - 2023-10-02 20:32:40 - 85521 - get all topics from db  - core.DataBase.DataBase - 26
INFO - 2023-10-02 20:32:40 - 85521 - connected to db  - core.DataBase.DataBase - 12
INFO - 2023-10-02 20:32:40 - 85521 - get all topics from db  - core.DataBase.DataBase - 26
INFO - 2023-10-02 20:32:47 - 85521 - connected to db  - core.DataBase.DataBase - 12
INFO - 2023-10-02 20:32:47 - 85521 - new user added to db  - core.DataBase.DataBase - 38
INFO - 2023-10-02 20:32:47 - 85521 - connected to db  - core.DataBase.DataBase - 12
INFO - 2023-10-02 20:32:47 - 85521 - checked for updates for user 183249817 from db  - core.DataBase.DataBase - 132
INFO - 2023-10-02 20:32:47 - 85521 - connected to db  - core.DataBase.DataBase - 12
INFO - 2023-10-02 20:32:47 - 85521 - get all topics from db  - core.DataBase.DataBase - 26
INFO - 2023-10-02 20:32:47 - 85521 - connected to db  - core.DataBase.DataBase - 12
INFO - 2023-10-02 20:32:47 - 85521 - get unanswered question with id 8 from db for user 183249817  - core.DataBase.DataBase - 65
INFO - 2023-10-02 20:32:53 - 85521 - connected to db  - core.DataBase.DataBase - 12
INFO - 2023-10-02 20:32:53 - 85521 - new user added to db  - core.DataBase.DataBase - 38
INFO - 2023-10-02 20:32:53 - 85521 - connected to db  - core.DataBase.DataBase - 12
INFO - 2023-10-02 20:32:53 - 85521 - checked for updates for user 183249817 from db  - core.DataBase.DataBase - 132
INFO - 2023-10-02 20:32:53 - 85521 - connected to db  - core.DataBase.DataBase - 12
INFO - 2023-10-02 20:32:53 - 85521 - get all topics from db  - core.DataBase.DataBase - 26
INFO - 2023-10-02 20:32:54 - 85521 - connected to db  - core.DataBase.DataBase - 12
INFO - 2023-10-02 20:32:54 - 85521 - get all topics from db  - core.DataBase.DataBase - 26
INFO - 2023-10-02 20:32:54 - 85521 - connected to db  - core.DataBase.DataBase - 12
INFO - 2023-10-02 20:32:54 - 85521 - added correct for question with 8 for user 183249817 from db  - core.DataBase.DataBase - 81
INFO - 2023-10-02 20:32:57 - 85521 - connected to db  - core.DataBase.DataBase - 12
INFO - 2023-10-02 20:32:57 - 85521 - new user added to db  - core.DataBase.DataBase - 38
INFO - 2023-10-02 20:32:57 - 85521 - connected to db  - core.DataBase.DataBase - 12
INFO - 2023-10-02 20:32:57 - 85521 - checked for updates for user 183249817 from db  - core.DataBase.DataBase - 132
INFO - 2023-10-02 20:32:57 - 85521 - connected to db  - core.DataBase.DataBase - 12
INFO - 2023-10-02 20:32:57 - 85521 - get all topics from db  - core.DataBase.DataBase - 26
INFO - 2023-10-02 20:32:57 - 85521 - connected to db  - core.DataBase.DataBase - 12
INFO - 2023-10-02 20:32:57 - 85521 - get unanswered question with id 11 from db for user 183249817  - core.DataBase.DataBase - 65
INFO - 2023-10-02 20:33:03 - 85521 - connected to db  - core.DataBase.DataBase - 12
INFO - 2023-10-02 20:33:03 - 85521 - new user added to db  - core.DataBase.DataBase - 38
INFO - 2023-10-02 20:33:03 - 85521 - connected to db  - core.DataBase.DataBase - 12
INFO - 2023-10-02 20:33:03 - 85521 - checked for updates for user 183249817 from db  - core.DataBase.DataBase - 132
INFO - 2023-10-02 20:33:03 - 85521 - connected to db  - core.DataBase.DataBase - 12
INFO - 2023-10-02 20:33:03 - 85521 - get all topics from db  - core.DataBase.DataBase - 26
INFO - 2023-10-02 20:33:03 - 85521 - connected to db  - core.DataBase.DataBase - 12
INFO - 2023-10-02 20:33:03 - 85521 - get all topics from db  - core.DataBase.DataBase - 26
INFO - 2023-10-02 20:33:03 - 85521 - connected to db  - core.DataBase.DataBase - 12
INFO - 2023-10-02 20:33:03 - 85521 - added correct for question with 11 for user 183249817 from db  - core.DataBase.DataBase - 81
INFO - 2023-10-02 20:33:05 - 85521 - connected to db  - core.DataBase.DataBase - 12
INFO - 2023-10-02 20:33:05 - 85521 - new user added to db  - core.DataBase.DataBase - 38
INFO - 2023-10-02 20:33:05 - 85521 - connected to db  - core.DataBase.DataBase - 12
INFO - 2023-10-02 20:33:05 - 85521 - checked for updates for user 183249817 from db  - core.DataBase.DataBase - 132
INFO - 2023-10-02 20:33:05 - 85521 - connected to db  - core.DataBase.DataBase - 12
INFO - 2023-10-02 20:33:05 - 85521 - get all topics from db  - core.DataBase.DataBase - 26
INFO - 2023-10-02 20:33:05 - 85521 - connected to db  - core.DataBase.DataBase - 12
INFO - 2023-10-02 20:33:05 - 85521 - get unanswered question with id 14 from db for user 183249817  - core.DataBase.DataBase - 65
